City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
314,gat,0,SN,1518200463,27,14.69,-16.54,82.57,11.92
315,bontang,48,ID,1518200463,100,0.12,117.47,79.47,1.74
316,hanzhong,80,CN,1518200463,92,33.08,107.03,29.25,2.75
317,do gonbadan,0,IR,1518195600,30,30.36,50.8,59.0,6.93
318,thongwa,0,MM,1518197400,83,16.76,96.52,73.4,5.82
319,mehamn,20,NO,1518198600,74,71.03,27.85,30.2,23.04
320,yamada,75,JP,1518195600,74,36.58,137.08,30.2,1.12
321,carauari,24,BR,1518200201,38,-4.88,-66.9,99.85,6.82
322,kirakira,80,SB,1518200465,100,-10.46,161.92,81.49,14.61
323,eyl,0,SO,1518200317,99,7.98,49.82,73.39,12.93
324,makakilo city,40,US,1518199380,68,21.35,-158.09,71.6,3.36
325,la palma,56,CO,1518200467,46,5.36,-74.39,83.65,2.8
326,mahibadhoo,24,MV,1518200467,97,3.78,72.97,82.71,11.07
327,puerto guzman,75,BO,1518195600,79,-14.32,-67.54,84.2,6.93
328,pshekhskaya,75,RU,1518197400,93,44.7,39.8,41.0,2.24
329,victoria,75,BN,1518197400,83,5.28,115.24,78.8,2.24
330,mount isa,0,AU,1518199200,38,-20.73,139.49,73.4,4.7
331,sandakan,75,MY,1518195600,88,5.84,118.12,75.2,3.36
332,qasigiannguit,75,GL,1518198600,40,68.82,-51.19,-4.01,1.12
333,smithers,5,CA,1518199200,83,54.78,-127.17,-5.81,3.36
334,jaicos,64,BR,1518200470,76,-7.36,-41.14,85.14,4.25
335,kirillov,92,RU,1518200470,89,59.86,38.38,19.89,10.4
336,hokitika,0,NZ,1518200470,100,-42.72,170.96,59.49,3.91
337,sampit,80,ID,1518200471,97,-2.54,112.95,73.39,4.88
338,sabha,92,LY,1518200471,47,27.03,14.43,68.62,15.73
339,guapi,44,CO,1518200439,86,2.57,-77.89,80.73,3.02
340,christchurch,88,NZ,1518199200,93,-43.53,172.64,59.0,4.7
341,kyaka,56,TZ,1518200472,84,-1.25,31.42,68.62,3.31
342,mazara del vallo,40,IT,1518198900,87,37.65,12.59,51.8,2.24
343,jiangyou,92,CN,1518200472,73,31.78,104.73,35.91,10.92
344,ankazoabo,92,MG,1518200472,96,-22.29,44.51,69.39,3.13
